# Ngrid  cyctime   clatime   cyciter  claiter
  50      0.017     0.068      55        3383        
  100     0.119     0.395     122       13721   
  150     0.381     1.913     172       31311   
  200     0.861     5.907     211       55990   
  250     1.851    14.291     275       88033   
  300     3.339    29.351     331      127325   
  350     4.933    54.050     382      173589   
  400     8.046    92.149     437      226925   
  450    11.615   148.050     482      289144   
  500    12.576   225.007     537      356950   
