# body           x            y           z            vx           vy           vz        SolarMass     Period
sun         3.59266E-03  3.31358E-03 -1.60345E-04 -6.83822E-04  2.50985E-03  1.35758E-05  1.00000E+00  1.18626E+01 
mercury    -8.12636E-03  3.11252E-01  2.60770E-02 -1.23303E+01 -1.45418E-02  1.12976E+00  1.66051E-07  2.40846E-01 
venus      -7.76546E-02 -7.18678E-01 -5.37161E-03  7.29108E+00 -8.52239E-01 -4.32487E-01  2.44827E-06  6.15197E-01 
earth       9.94984E-01  1.42925E-01 -1.71705E-04 -9.79618E-01  6.20403E+00 -4.24520E-04  3.00329E-06  1.00001E+00 
moon        9.92327E-01  1.42556E-01 -6.60937E-05 -9.56158E-01  5.99854E+00  1.68595E-02  3.69566E-08  7.48040E-02 
mars        1.03557E+00 -9.22457E-01 -4.48874E-02  3.60612E+00  4.24530E+00  4.05395E-04  3.22773E-07  1.88081E+00 
phobos      1.03557E+00 -9.22395E-01 -4.48865E-02  3.21193E+00  4.28033E+00  2.08324E-01  5.43110E-11  8.73393E-04 
deimos      1.03545E+00 -9.22557E-01 -4.48434E-02  3.76183E+00  4.02586E+00 -9.34710E-02  9.05184E-11  3.45797E-03 
jupiter    -5.43515E+00 -3.53215E-01  1.23019E-01  1.46506E-01 -2.62014E+00  7.59951E-03  9.54532E-04  1.18626E+01 
io         -5.43246E+00 -3.54080E-01  1.23027E-01  1.27028E+00  8.45552E-01  1.46526E-01  4.49223E-08  4.84373E-03 
europa     -5.43544E+00 -3.48757E-01  1.23209E-01 -2.75655E+00 -2.78084E+00 -4.82578E-02  2.41231E-08  9.72453E-03 
ganymede   -5.43896E+00 -3.59258E-01  1.22740E-01  2.09181E+00 -3.84107E+00 -1.29434E-02  7.45268E-08  1.95885E-02 
callisto   -5.43309E+00 -3.65618E-01  1.22652E-01  1.85285E+00 -2.32545E+00  3.97838E-02  5.41099E-08  4.56930E-02 
saturn     -2.33878E+00 -9.75664E+00  2.62723E-01  1.86986E+00 -4.81608E-01 -6.59254E-02  2.85796E-04  2.94474E+01 
mimas      -2.33756E+00 -9.75682E+00  2.62722E-01  2.30930E+00  2.19271E+00 -1.43974E+00  1.88580E-11  2.58026E-03 
enceladus  -2.34036E+00 -9.75646E+00  2.62779E-01  1.64589E+00 -2.83412E+00  1.18842E+00  5.43362E-11  3.75153E-03 
tethys     -2.34057E+00 -9.75585E+00  2.62442E-01  8.66711E-01 -2.37213E+00  1.00829E+00  3.10578E-10  5.16917E-03 
dione      -2.33633E+00 -9.75626E+00  2.62284E-01  1.41305E+00  1.36341E+00 -9.88379E-01  5.51016E-10  7.49342E-03 
rhea       -2.34017E+00 -9.75946E+00  2.64312E-01  3.50860E+00 -1.17082E+00  1.40407E-01  1.16115E-09  1.23698E-02 
titan      -2.33110E+00 -9.75516E+00  2.61200E-01  1.58387E+00  5.70071E-01 -5.79658E-01  6.76640E-08  4.36571E-02 
iapetus    -2.34426E+00 -9.77921E+00  2.69055E-01  2.52333E+00 -6.47611E-01 -1.59435E-01  9.08151E-10  2.17198E-01 
uranus      1.84844E+01  7.51300E+00 -2.11566E-01 -5.51411E-01  1.26384E+00  1.18702E-02  4.36552E-05  8.40168E+01 
miranda     1.84838E+01  7.51303E+00 -2.12168E-01 -1.50973E+00  1.50715E+00  1.01596E+00  3.31398E-11  3.86866E-03 
ariel       1.84842E+01  7.51286E+00 -2.12826E-01 -1.67856E+00  1.52485E+00  1.13286E-01  6.80397E-10  6.89953E-03 
umbriel     1.84833E+01  7.51304E+00 -2.12989E-01 -1.31009E+00  1.50948E+00  5.90229E-01  5.89375E-10  1.13458E-02 
titania     1.84871E+01  7.51251E+00 -2.10751E-01 -3.62084E-01  1.11996E+00 -7.19039E-01  1.77365E-09  2.38362E-02 
oberon      1.84867E+01  7.51294E+00 -2.08446E-01 -3.83809E-02  1.09690E+00 -3.77441E-01  1.51568E-09  3.68604E-02 
neptune     2.82466E+01 -9.96401E+00 -4.45782E-01  3.73693E-01  1.08790E+00 -3.10964E-02  5.14999E-05  1.64791E+02 
proteus     2.82460E+01 -9.96454E+00 -4.45741E-01  1.30865E+00  3.34609E-02 -8.06339E-01  2.53200E-11  3.07279E-03 
triton      2.82448E+01 -9.96379E+00 -4.44205E-01  7.89588E-01  1.83111E+00  3.32491E-01  1.07968E-08  1.60902E-02 
pluto       9.38078E+00 -3.18215E+01  6.91636E-01  1.12570E+00  9.06302E-02 -3.31827E-01  6.57264E-09  2.49589E+02 
charon      9.38086E+00 -3.18215E+01  6.91533E-01  1.10532E+00  5.45412E-02 -3.54138E-01  7.69407E-10  1.74876E-02 
